schema_namespace,schema_sha256,quiz_task_uuid,task_url,tua_uuid,article_batch_name,article_number,article_filename,article_sha256,article_text_length,task_uuid,task_redundancy,taskrun_count,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,topic_name,question_label,question_text,answer_label,answer_content,answer_uuid,submitted_tua_uuid,answer_text,case_number,highlight_count,start_pos,end_pos,target_text
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,793d775d-a0c9-479d-a83e-015c44fb73d9,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/506,76a22a5f-cfa9-4567-84a8-6503efb21c12,softcite_data/step1_txt/pmc/PMC1474058-0/text.txt.gz,100000,PMC1474058-0,264e4195178b24a104c39d81e99282b952dbb1e08468124950784a03fd93083c,3610,3c319fd8-e515-4fe2-9034-df2cd6b629af,3,3,865dd9b5-9f98-4892-9d62-bfac5979fc3e,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,47:54.6,48:19.5,24.911452,software details,T1.Q1,"Do you think the entity displayed in bold font on the left is properly classified as a specific piece of software? (i.e., not a general class of software)? (We encourage you to search the Internet to verify your answer. For example, you can use the word in bold text + ""software"" as your Google search terms or other search terms of your choice, find relevant information by reading the search results, and then make your judgment.)",T1.Q1.A5,Very unlikely this is a specific piece of software,fa4c6e5f-0b90-471d-8005-7b868e662474,865dd9b5-9f98-4892-9d62-bfac5979fc3e,Very unlikely this is a specific piece of software,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,793d775d-a0c9-479d-a83e-015c44fb73d9,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/506,76a22a5f-cfa9-4567-84a8-6503efb21c12,softcite_data/step1_txt/pmc/PMC1474058-0/text.txt.gz,100000,PMC1474058-0,264e4195178b24a104c39d81e99282b952dbb1e08468124950784a03fd93083c,3610,3c319fd8-e515-4fe2-9034-df2cd6b629af,3,3,602ba944-103c-45a8-aca9-a8d758e35d08,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,47:54.6,48:19.5,24.911452,software details,T1.Q90,"Please tell us (best guess is fine) what you think the entity displayed in bold font might be (e.g., algorithm, hardware, protocol, database, etc.)",T1.Q90.A1,placeholder answer for TEXT,6685f896-8a0f-4bab-8716-e60abf97ea1e,602ba944-103c-45a8-aca9-a8d758e35d08,reagent,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,793d775d-a0c9-479d-a83e-015c44fb73d9,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/506,76a22a5f-cfa9-4567-84a8-6503efb21c12,softcite_data/step1_txt/pmc/PMC1474058-0/text.txt.gz,100000,PMC1474058-0,264e4195178b24a104c39d81e99282b952dbb1e08468124950784a03fd93083c,3610,3c319fd8-e515-4fe2-9034-df2cd6b629af,3,3,5ce80dd2-f548-4e50-a87d-1f821cb8b0eb,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,47:54.6,48:19.5,24.911452,software details,T1.Q91,(optional) Please leave comments on what might be confusing and suggest ways we might clarify definitions or improve our prompts to better guide contributors' efforts.,T1.Q91.A1,placeholder answer for TEXT,54d12f42-2171-4640-be06-8d25fb8780d7,5ce80dd2-f548-4e50-a87d-1f821cb8b0eb,,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,9e925612-5d91-4a07-8a36-cf476a033dba,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/507,95525170-3050-4808-89a1-a2c73bb8e259,softcite_data/step1_txt/pmc/PMC1474058-1/text.txt.gz,100001,PMC1474058-1,43fc79d308443d9b7a6c035f1acf262ba0d63aa31ee9e7e30b03ad2c9d39402e,3369,5ed4ebc2-2821-485e-996d-ef91e2e8615a,3,3,34ecfaf2-1000-49af-bd97-4fb5d176acdf,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,47:54.8,48:50.9,56.153042,software details,T1.Q1,"Do you think the entity displayed in bold font on the left is properly classified as a specific piece of software? (i.e., not a general class of software)? (We encourage you to search the Internet to verify your answer. For example, you can use the word in bold text + ""software"" as your Google search terms or other search terms of your choice, find relevant information by reading the search results, and then make your judgment.)",T1.Q1.A5,Very unlikely this is a specific piece of software,fa4c6e5f-0b90-471d-8005-7b868e662474,34ecfaf2-1000-49af-bd97-4fb5d176acdf,Very unlikely this is a specific piece of software,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,9e925612-5d91-4a07-8a36-cf476a033dba,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/507,95525170-3050-4808-89a1-a2c73bb8e259,softcite_data/step1_txt/pmc/PMC1474058-1/text.txt.gz,100001,PMC1474058-1,43fc79d308443d9b7a6c035f1acf262ba0d63aa31ee9e7e30b03ad2c9d39402e,3369,5ed4ebc2-2821-485e-996d-ef91e2e8615a,3,3,ee6d9328-90f2-4d1d-8e7e-32204326525c,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,47:54.8,48:50.9,56.153042,software details,T1.Q90,"Please tell us (best guess is fine) what you think the entity displayed in bold font might be (e.g., algorithm, hardware, protocol, database, etc.)",T1.Q90.A1,placeholder answer for TEXT,6685f896-8a0f-4bab-8716-e60abf97ea1e,ee6d9328-90f2-4d1d-8e7e-32204326525c,some instrument,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,9e925612-5d91-4a07-8a36-cf476a033dba,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/507,95525170-3050-4808-89a1-a2c73bb8e259,softcite_data/step1_txt/pmc/PMC1474058-1/text.txt.gz,100001,PMC1474058-1,43fc79d308443d9b7a6c035f1acf262ba0d63aa31ee9e7e30b03ad2c9d39402e,3369,5ed4ebc2-2821-485e-996d-ef91e2e8615a,3,3,86e6c43c-adbb-469b-939e-ba58082e3dc8,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,47:54.8,48:50.9,56.153042,software details,T1.Q91,(optional) Please leave comments on what might be confusing and suggest ways we might clarify definitions or improve our prompts to better guide contributors' efforts.,T1.Q91.A1,placeholder answer for TEXT,54d12f42-2171-4640-be06-8d25fb8780d7,86e6c43c-adbb-469b-939e-ba58082e3dc8,,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,c56a2e73-e984-4387-98e1-800c9fb0400e,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/508,ef860f72-b0c2-4eab-af99-79184c952a78,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,2be533ea-620a-49bb-b46c-3b8763cc0020,3,3,4392f9bf-0d01-4132-9826-4946c2033a26,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:19.8,49:41.5,81.66839,software details,T1.Q1,"Do you think the entity displayed in bold font on the left is properly classified as a specific piece of software? (i.e., not a general class of software)? (We encourage you to search the Internet to verify your answer. For example, you can use the word in bold text + ""software"" as your Google search terms or other search terms of your choice, find relevant information by reading the search results, and then make your judgment.)",T1.Q1.A3,Equal chance it is or is not a specific piece of software,5c0c6e4b-b648-4f96-a48d-68925fddeac6,4392f9bf-0d01-4132-9826-4946c2033a26,Equal chance it is or is not a specific piece of software,0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,c56a2e73-e984-4387-98e1-800c9fb0400e,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/508,ef860f72-b0c2-4eab-af99-79184c952a78,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,2be533ea-620a-49bb-b46c-3b8763cc0020,3,3,89a1d8d7-47b8-47d5-8ff5-65c803e92fa3,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:19.8,49:41.5,81.66839,software details,T1.Q31,Please find and highlight the name of the software in/near the bolded text in the article on the left:,T1.Q31.A1,"Yes, Iâ€™ve found the name of the software in the article.",15eb0755-71dd-4316-af40-d92b9f39f670,89a1d8d7-47b8-47d5-8ff5-65c803e92fa3,"Yes, Iâ€™ve found the name of the software in the article.",1,1,1134,1139,OPAAS
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,c56a2e73-e984-4387-98e1-800c9fb0400e,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/508,ef860f72-b0c2-4eab-af99-79184c952a78,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,2be533ea-620a-49bb-b46c-3b8763cc0020,3,3,337f3222-7f30-4bac-8ece-7f3d6cf2e143,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:19.8,49:41.5,81.66839,software details,T1.Q32,Please find and highlight the version number of the software near the bolded text on the left (e.g. - v34 - beta 0.3 - version 2.0 - 1.3.2):,T1.Q32.A2,"No, I cannot find the version number in the article.",c1cb0ee4-e9ab-41e2-bac5-4bf16f2aff92,337f3222-7f30-4bac-8ece-7f3d6cf2e143,"No, I cannot find the version number in the article.",0,0,,,
DH_SoftwareDetailsv1.55,f3f615b1cf07befff379a8e76eaecf73b6e4f506e2a475109215944af65522b6,c56a2e73-e984-4387-98e1-800c9fb0400e,https://howisonlab.tasks.thusly.co/project/SoftwareDetails_v1.55/task/508,ef860f72-b0c2-4eab-af99-79184c952a78,softcite_data/step1_txt/pmc/PMC1538888-0/text.txt.gz,100005,PMC1538888-0,c8fe9c639fb1f741c56553c3af2c6679eda09bbf10c8dfce74b814c2bf0bf7b9,3538,2be533ea-620a-49bb-b46c-3b8763cc0020,3,3,959c023e-47e0-4d60-adab-75eae13c36cc,d2d1f4cd-b63e-47c7-a13f-0409416c9d92,48:19.8,49:41.5,81.66839,software details,T1.Q33,Please find and highlight the version date of the software near the bolded text on the left (e.g. - May 2012 - 2004-02-11):,T1.Q33.A2,"No, I cannot find the version date in the article.",4a95b55c-e827-469c-848f-e9186dde0aeb,959c023e-47e0-4d60-adab-75eae13c36cc,"No, I cannot find the version date in the article.",0,0,,,
