		[PMC2447753]
'Clustering 2D'(CL2D	'Clustering 2D'(CL2D	[PMC4176174]
1D-Quantity One	1D-Quantity One	[PMC4615379]
3D Slicer	3D Slicer	[PMC5147225]
3D-Doctor	3D-Doctor	[PMC3604266]
3DPSSM	3DPSSM	[PMC3130168]
454	454	[PMC3627563]
6CIT	6CIT	[PMC3915115]
7000 System Sequence Detection	7000 System Sequence Detection	[PMC3001089]
7300 Real-Time PCR System	7300 Real-Time PCR System	[PMC3510025]
ABAQUS	ABAQUS	[PMC3875508]
ABI Prism 377	ABI Prism 377	[a2001-40-MOL_ECOL]
ACCESS	ACCESS	[PMC5066857]
ADAPT	ADAPT	[PMC4631805]
AFNI	AFNI	[PMC4589266,PMC4375646]
AFNI 3dROIstats	AFNI 3dROIstats	[PMC4589266]
AIDA	AIDA	[PMC2677872]
AIDA image analyser	AIDA image analyser	[PMC3058730]
AMBER	AMBER	[PMC3281721]
AMIRA	AMIRA	[PMC3765960]
AMOS	AMOS	[10.1080%2F00036846.2016.1218430,10.3846%2Fbtp.2013.31]
AMSTAR	AMSTAR	[PMC5419227]
ANNOVAR	ANNOVAR	[PMC5132076,PMC5478307]
ANOVA	ANOVA	[PMC4047866]
AOL	AOL	[10.1111%2Fjems.12141]
AQUACOSMOS/RATIO calcium-ion analysis system	AQUACOSMOS/RATIO calcium-ion analysis system	[PMC3289039]
ART-FUN	ART-FUN	[PMC5308435]
ASAP	ASAP	[PMC3013677]
ASD	ASD	[PMC3013677]
ASK	ASK	[10.1111%2Fjems.12141]
ASP.NET	ASP.NET	[PMC2686489]
ASPICdb	ASPICdb	[PMC3013677]
ASPicDB	ASPicDB	[PMC3013677]
ASReml	ASReml	[PMC4093164]
ASSAY Builder	ASSAY Builder	[PMC4586740]
ASSESS	ASSESS	[PMC3598424]
ASTALAVISTA	ASTALAVISTA	[PMC3013677]
ATETRA	ATETRA	[PMC4103605]
ATGPR	ATGPR	[PMC5056991]
ATLAS.ti	ATLAS.ti	[PMC4687766,PMC4521673]
ATSAS	ATSAS	[PMC5143422]
AUGUSTUS	AUGUSTUS	[PMC3762194]
AURIN	AURIN	[10.1111%2F1467-8462.12152]
AUTO-MESH	AUTO-MESH	[PMC4642173]
AW SDC	AW SDC	[PMC3835222]
