		[PMC4631805]
-12.0	-12.0	[PMC3717207]
0.1.10	0.1.10	[PMC3630384]
0.1.18	0.1.18	[PMC4069613,PMC3630384]
0.1.19–44428cd	0.1.19–44428cd	[PMC4797302]
0.5.9	0.5.9	[PMC4069613]
0.6.2	0.6.2	[PMC3630384]
0.64	0.64	[PMC3939454]
0.9	0.9	[PMC2736487]
0.9.6	0.9.6	[PMC4922354]
0.93	0.93	[PMC4093824]
0.98.1102	0.98.1102	[PMC5063056]
0.98.501	0.98.501	[PMC4664003]
0.98.994	0.98.994	[PMC4819553]
02	02	[PMC3734831]
06.01	06.01	[PMC4644012]
1.0	1.0	[PMC5040012,10.1111%2Ftwec.12479,PMC5104181,PMC3686433,PMC3769764,a2001-40-MOL_ECOL]
1.0.1	1.0.1	[PMC3329502]
1.0012	1.0012	[PMC3939454]
1.01	1.01	[PMC3490414]
1.02	1.02	[PMC2649809]
1.07	1.07	[PMC4504747]
1.1	1.1	[PMC5054108,PMC2649809,PMC3771852,PMC3749580,PMC5419080,PMC3123123,PMC3507582]
1.1.1	1.1.1	[PMC4540966]
1.1.2	1.1.2	[PMC5247570]
1.10	1.10	[PMC1636350]
1.10.1	1.10.1	[PMC4215594]
1.11	1.11	[PMC4797302]
1.13.0	1.13.0	[PMC2686520]
1.15	1.15	[PMC5440848]
1.17	1.17	[PMC3770329]
1.1rc2	1.1rc2	[PMC4615214]
1.2	1.2	[PMC5387758,PMC2602909,PMC3531733]
1.2.0.13	1.2.0.13	[PMC3770329]
1.2.02	1.2.02	[PMC4792857]
1.2.3	1.2.3	[PMC2649809,PMC3001089]
1.20	1.20	[PMC5339831]
1.20.0	1.20.0	[PMC4797302]
1.25	1.25	[PMC3580823]
1.2r3pre	1.2r3pre	[PMC3077646]
1.3	1.3	[PMC4632117,PMC4128792,PMC5339831,PMC3770329,PMC4797302]
1.3.0	1.3.0	[PMC4674517]
1.3.0.5	1.3.0.5	[PMC3770329]
1.3.1	1.3.1	[PMC4103437]
1.3.7b	1.3.7b	[PMC5098543]
1.31	1.31	[PMC4792857]
1.32	1.32	[PMC4123385]
1.33 µ	1.33 µ	[PMC3984197]
1.4	1.4	[PMC4986689,PMC2529246,PMC4874631,PMC4770866,PMC5435914]
1.4.0.29	1.4.0.29	[PMC5220168]
1.4.2	1.4.2	[PMC5406524]
1.42j	1.42j	[PMC3529531]
1.43	1.43	[PMC5372024]
1.44	1.44	[PMC5406603]
1.44p	1.44p	[PMC4027884]
1.45	1.45	[PMC4938145,PMC3727320]
1.46r	1.46r	[PMC4299502]
1.47n	1.47n	[PMC4428716]
1.47v	1.47v	[PMC4812504]
1.48	1.48	[PMC4376262]
1.5	1.5	[PMC4800296]
1.5.15	1.5.15	[PMC5129524]
1.5.41	1.5.41	[PMC5143422]
1.5.6 rc1	1.5.6 rc1	[PMC3590572]
1.51	1.51	[PMC3245946]
1.55	1.55	[PMC1538888,a2001-40-MOL_ECOL]
1.6	1.6	[PMC3105518]
1.6.3	1.6.3	[PMC3249287]
1.6.6	1.6.6	[PMC3654430]
1.61	1.61	[PMC4004907]
1.63	1.63	[PMC4360221]
1.68	1.68	[PMC3630384]
1.7	1.7	[PMC3529402]
1.7.0	1.7.0	[PMC3627965]
1.7.2	1.7.2	[PMC3357263]
1.8	1.8	[PMC4066774,PMC3374072]
1.81	1.81	[PMC3769764]
1.83	1.83	[PMC1636350]
1.9	1.9	[PMC3590572]
1.l.l	1.l.l	[PMC5054038]
10	10	[PMC3702283,PMC4965703,PMC4967653,PMC4576863,PMC4717961,PMC3771852,PMC3794438,PMC4322207,PMC4198632,PMC4120417,10.1111%2F1756-2171.12020,PMC4793049,PMC3158666,PMC4764960,PMC4360221,10.1111%2F1467-8462.12246,PMC4356689]
10.0	10.0	[PMC3994435,PMC3632766,PMC5128353,PMC4147369,PMC5132146,PMC4967653,PMC3641311,PMC3487307,PMC3349042,PMC3223056,10.1007%2Fs10824-015-9248-3,PMC4602874,PMC2698157]
10.0.1	10.0.1	[PMC3379598]
10.01	10.01	[PMC4523486]
10.1	10.1	[PMC5287949,PMC4295086,PMC3534176,PMC3708637,PMC3898763,PMC2895706]
10.3	10.3	[PMC4437485]
10.4.1	10.4.1	[PMC5462257]
10.5.1.1	10.5.1.1	[PMC4586740]
10.7.3.1	10.7.3.1	[PMC4276895]
11	11	[PMC3792603,PMC3236159,PMC4894081,PMC3230829,PMC3245946,PMC5419227,PMC4584013,PMC3280433,PMC4266938,PMC3710983,PMC2999698,PMC5129490,PMC3780496,PMC2238715,10.1111%2Fj.1467-8462.2013.12010.x,PMC3404480,PMC4310378,PMC4313447]
11.0	11.0	[PMC4153526,PMC4027853,PMC3007589,PMC5329793,PMC2729960,PMC4234239,PMC2991579,PMC3318936,PMC5132031,PMC4801132,PMC3865386,PMC3575981,PMC3072005,PMC4410849,PMC4210416,PMC3020393,PMC4630182,PMC3983507,PMC3390076,PMC4680075,PMC3003812,PMC3529402]
11.0.0	11.0.0	[PMC4027884,PMC4683424]
11.0forWindows	11.0forWindows	[PMC3832812]
11.1	11.1	[PMC3488743]
11.2	11.2	[PMC5295802,PMC3880232,PMC3717584,PMC3998155]
11.3	11.3	[PMC4182354]
11.4	11.4	[PMC4922354]
11.5	11.5	[PMC5329788,PMC3768955,PMC3982819,PMC3580823,PMC5339929,PMC3031000,PMC4388951,PMC3729991,PMC3184742,PMC4923836,PMC3977211,10.1111%2F1467-8462.12246,PMC3887290]
11.5.1	11.5.1	[PMC4276895]
12	12	[PMC4921791,PMC4853138,PMC4575381,PMC4153088,PMC4917775,PMC3915115,PMC4025442,PMC4784605,PMC4368909,PMC4672851,PMC4425235,PMC5018359]
12.0	12.0	[PMC3044586,PMC4853588,PMC3595621,PMC2867195,PMC5271396,PMC4616395,PMC4592051,PMC3429821,PMC3408515,PMC2789947,PMC3374006,PMC3708637,PMC3218131,PMC4455856,PMC3999808,PMC4679799,PMC4793029,PMC3302911,PMC3037501,PMC2633203,PMC4582469,PMC4926940,PMC4913543,PMC5244966]
12.0 K	12.0 K	[PMC4540847]
12.0.0	12.0.0	[PMC3464321]
12.0.1	12.0.1	[PMC3430911]
12.00	12.00	[PMC3049292]
12.1	12.1	[PMC4306576,PMC4453652,PMC3902401]
12.1.0	12.1.0	[PMC4822213]
12.2.0	12.2.0	[PMC3529531]
12.4.0	12.4.0	[PMC4236336]
12.4.0.0	12.4.0.0	[PMC4174131]
12.6	12.6	[PMC3781569]
12.7.7	12.7.7	[PMC5144905]
13	13	[PMC5045956,PMC5359137,PMC5084721,PMC4600182,PMC4350160,PMC5271394,PMC3796294,PMC5036010,PMC5096434,PMC5374131,PMC4934460,PMC5062751,PMC4301232,PMC4553351,PMC4750770,PMC4644610,PMC5223687,10.1111%2F1467-8462.12246]
13.0	13.0	[PMC5103916,PMC2741607,PMC4027884,10.1007%2Fs00181-016-1169-2,PMC3428639,PMC4054524,PMC3335898,PMC3824685,PMC3834693,PMC4062317,PMC3040438,PMC4541475,PMC5104181,PMC3619103,PMC2996622,PMC4898329,PMC4758284,PMC3782730,PMC4752095,PMC3768479,PMC4205716,PMC4389529,PMC4377530,PMC4812582,PMC5064647,PMC4785310,PMC4837866]
13.0.1	13.0.1	[PMC4940481]
13.1	13.1	[PMC4264456,PMC4646224,PMC4819867]
1302A	1302A	[PMC3091210]
14	14	[PMC4870544,PMC5098113,PMC2936008,PMC5321344,PMC4027710]
14.0	14.0	[PMC3259236,PMC2846736,PMC4989431,PMC3088464,PMC4998785,PMC3309253,PMC3337072,PMC3624981,PMC3891859,PMC5009042,PMC5402591,PMC5386927]
14.02	14.02	[PMC3598124]
14.1	14.1	[PMC5436526,10.1111%2Fecin.12490]
15	15	[a2010-05-BMC_MOL_BIOL,PMC3542452,PMC4189227]
15.0	15.0	[PMC2958506,PMC4633460,PMC2890364,PMC4947609,PMC4183238,PMC3283851,PMC4515454,PMC3708637,PMC3710919,PMC3285716,PMC3104442,PMC3994298,PMC3663311,PMC5121256,PMC5466216,PMC3611748]
15.1	15.1	[PMC4062930]
15.6	15.6	[PMC5390613]
16	16	[PMC4472590,PMC4296915,PMC4138420,PMC4357677,PMC3315194,PMC3524325,PMC4468621,PMC5279962,PMC4431426,PMC4221951,PMC4764960,PMC3386500,PMC4568189,PMC4399784,PMC3835222]
16.0	16.0	[PMC4505995,PMC4930280,PMC3880993,PMC5265988,PMC2826650,PMC3524325,PMC4057327,PMC5266113,PMC3886109,PMC4590259,PMC4623144,PMC5040012,PMC5390613,PMC5383462,PMC5436475,PMC4242897,PMC3198078,PMC4686099,PMC4128692,PMC3334951,PMC3293421,PMC4644632,PMC5440848,PMC3200513,PMC4766201,PMC5345981,PMC3905558]
17	17	[PMC4478301,PMC4012704,PMC4634622,PMC4407761,PMC3905533,PMC4623719]
17.0	17.0	[PMC3778302,PMC4939487,PMC3694184,PMC2995975,PMC4665880,PMC5413540,PMC4182997,PMC4003544,PMC4585391,PMC5266189,PMC3425424,PMC4481556,PMC4632933,PMC4360915,PMC3021741,PMC3318181,PMC4588797,PMC4495456,PMC3031013,PMC4255760,PMC4792212,PMC3349032,PMC3964493,PMC5088916,PMC4680075,PMC4535552,PMC3522449,PMC3003812,PMC3797259,PMC3881477,PMC5066378,PMC4816035,PMC4832950,PMC4832946,PMC3758215,PMC4799566,PMC4286759,PMC3836143,PMC3278723]
17.0.2	17.0.2	[PMC3717207]
17.1	17.1	[PMC4750770]
18	18	[PMC3604266,10.1007%2Fs10818-017-9252-0,PMC4775480,PMC4779866,10.3846%2Fbtp.2013.31,PMC3835501,PMC3587895,PMC4345725,PMC5459276,PMC3469014,PMC3221323,PMC3017597,PMC4951770,PMC3309518,PMC3825938,PMC3448398]
18.0	18.0	[PMC3212591,PMC3793542,PMC4559775,PMC3220261,PMC4338086,PMC4304516,PMC4496510,PMC4922354,PMC3383247,PMC4386214,PMC5011596,PMC3611102,PMC3773590,PMC5130055,PMC5440121,PMC5390613,PMC5328613,PMC5234238,PMC4665705,PMC3988440,PMC4492334,PMC4630049,PMC4038421,PMC4720847,PMC4857864,PMC4310406,PMC3671002]
18.0.0	18.0.0	[PMC4107842,PMC3309518,PMC3293421]
18.0.2	18.0.2	[PMC3028489]
18.0J	18.0J	[PMC4309330]
19	19	[PMC5098051,PMC5256325,PMC5436526,PMC5355527,PMC4454910,PMC4040663,PMC3955898]
