identifier,quote,tei
10.1111%2Fj.1468-0297.2011.02449.x_TL02,We generated the GP hospital origin-destination matrix using the Network Analysis tools from the ESRI ArcGIS software package,data/tei/10.1111%2Fj.1468-0297.2011.02449.x.tei.xml
PMC3007589_HR01,"SigmaPlot software,Version 11.0 (Systat Software, San Jose, CA, USA), andthe R statistical package, Version 2.5.1 (R DevelopmentCore Team, 2008) were used to perform the analyses.",data/tei/PMC3007589.tei.xml
PMC4940481_TL01,"All analyses were performed by using SPSS 13.0.1 for Windows (SPSS Inc., Chicago, IL, USA).",data/tei/PMC4940481.tei.xml
PMC4963166_HR01,"Data analysis was conducted using the commercially available Statistical Package for Social Sciences <ref type=""bibr"">(SPSSÒ 20 for Mac)</ref>.",data/tei/PMC4963166.tei.xml
PMC5066446_EK01,"All statistical analyses were performed using R statistical packages <ref type=""bibr"" target=""#b12"">[13]</ref>.",data/tei/PMC5066446.tei.xml
PMC4541654_MP04,"In general, in order to acceptably predict desirable compounds, multiple selection processes using various docking programs such as AutoDock Vina",data/tei/PMC4541654.tei.xml
PMC4541654_MP05,"multiple selection processes using various docking programs such as AutoDock Vina <ref type=""bibr"" target=""#b26"">27</ref> or Glide 28 must be applied;",data/tei/PMC4541654.tei.xml
PMC5271433_MP01,"Data were analyzed with SPSS ® , version 19.0.",data/tei/PMC5271433.tei.xml
PMC4812167_SS05,"Calcusyn software was used to ascertain the combination index (CI) value for each combination ratio to determine whether combination treatments have an additive or synergistic effect on (B)U87-GSCs or (D)C6-GSCs. CI values <1.0, =1, and >1.0 indicates synergistic interaction (more than additive), summation (additive), and antagonistic interaction (less than additive), respectively.",data/tei/PMC4812167.tei.xml
PMC4812167_SS06,"Calcusyn software was used to ascertain the combination index to determine whether combination treatments have an additive or synergistic effect. CI values <1.0, =1, and >1.0 indicates synergistic interac-tion (more than additive), summation (additive), and antagonistic interaction (less than additive), respectively.",data/tei/PMC4812167.tei.xml
PMC4771121_BB01,the data were analyzed using CFlow Plus software (BD Biosciences).,data/tei/PMC4771121.tei.xml
PMC4771121_BB02,"The amplified products were electrophoresed on 1% agarose gels and the bands were analyzed using ImageJ software (NIH, Bethesda, MD, USA).",data/tei/PMC4771121.tei.xml
PMC4771121_BB03,"All statistical analyses were performed using SPSS version 15 statistical software (SPSS Inc., Chicago, IL, USA).",data/tei/PMC4771121.tei.xml
PMC5191619_JWC01,"from both studies using Statistical Analysis System (SAS Institute Inc., Cary, NC, USA) version 9.1 or later.",data/tei/PMC5191619.tei.xml
PMC4283627_EK01,The software STRUCTURE (Pritchard and others 2000)wasthen used to identify the mixture of ancestral groups in eachdog.,data/tei/PMC4283627.tei.xml
PMC4283627_EK02,In each STRUCTURE run the number of population subgroups (K) is specified andruns are repeated at increasing values of K until no further sub-structure is detected.,data/tei/PMC4283627.tei.xml
PMC4283627_EK03,Values were calculated using the programme GENALEX (Peakall andSmouse 2006).,data/tei/PMC4283627.tei.xml
PMC4283627_EK06,STRUCTURE analysis within dog breeds from the UK and South Africa.,data/tei/PMC4283627.tei.xml
PMC2935446_AN01,"These predictors could be categorized into four groups: (i) methods based on relative propensity of amino acids to form disorder/ordered regions which include GlobPlot (Linding et al., 2003), IUPred (Dosztányi et al., 2005), FoldIndex (Prilusky et al., 2005) and Ucon (Schlessinger et al., 2007a);",data/tei/PMC2935446.tei.xml
PMC2935446_AN02,"methods based on relative propensity of amino acids to form disorder/ordered regions which include GlobPlot ( <ref type=""bibr"" target=""#b16"">Linding et al., 2003)</ref>, <ref type=""bibr"">IUPred (Dosztányi et al., 2005</ref>), <ref type=""bibr"">FoldIndex (Prilusky et al., 2005</ref>) and Ucon",data/tei/PMC2935446.tei.xml
PMC2935446_AN04,"(ii) methods built utilizing machine-learning classifiers, such as DISpro (Hecker et al., 2008), DISOPRED (Jones and Ward, 2003) DISOPRED2 (Ward et al., 2004), PrDOS (Ishida and Kinoshita, 2007), POODLE- S (Shimizu et al., 2007a), POODLE-L (Hirose et al., 2007), POODLE-W (Shimizu et al., 2007b), Spritz (Vullo et al., 2006), DisPSSMP (Su et al., 2006), DisPSSMP2 (Su et al., 2007), IUP (Yang and Yang, 2006), NORSnet (Schlessinger et al., 2007b) and OnD-CRFs (Wang and Sauer, 2008);",data/tei/PMC2935446.tei.xml
PMC2935446_AN14,"(iii) methods based on a meta- approach which combines predictions from multiple base predictors including recent MD (Schlessinger et al., 2009), metaPrDOS (Ishida and Kinoshita, 2008), GS-metaDisorder (J.Bujnicki, unpublished data) and MULTICOM (Cheng et al., 2005); and (iv) methods based on analysis of predicted 3D structural models, such as DISOclust (McGuffin, 2008)",data/tei/PMC2935446.tei.xml
PMC2935446_AN15,Table 1. List of input information sources used by disorder predictors based on machine learning classifiers (sorted by the year of publication) Reference Unpublished data Schlessinger et al. (2009) Ishida and Kinoshita (2008) Hecker et al. (2008) Wang and Sauer (2008) Shimizu et al. (2007a) Hirose et al. (2007) Shimizu et al. (2007b) Su et al. (2007) Ishida and Kinoshita (2007) Cheng et al. (2005) Ward et al. (2004) Prediction method Input information AA AA AA PSSM SS Solventaccessi- Terminus Meta predictor X X X X type propensity position profile GS-metaDisorder X X MD X X metaPrDOS DISpro X OnD-CRF X POODLE-S X X prediction bility prediction X X X X X X X indicator X POODLE-L POODLE-W DisPSSMP2 PrDOS MULTICOM-CMFR DISOPRED2,data/tei/PMC2935446.tei.xml
PMC2935446_AN20,"We use a machine learning-based predictor DISOPRED2, residue propensity-based IUPred and a recent DISOclust that is based on tertiary structure predictions (i.e. prediction based on the sequence- derived tertiary structure).",data/tei/PMC2935446.tei.xml
PMC2935446_AN23,"We select DISOPRED2 since it was demonstrated to provide high-quality predictions and to be orthogonal to other machine learning-based methods (Schlessinger et al., 2009).",data/tei/PMC2935446.tei.xml
PMC2935446_AN24,"The IUPred provides two models that specialize in prediction of long- and short-disordered regions, respectively.",data/tei/PMC2935446.tei.xml
PMC2935446_AN25,"The DISOclust utilizes a premise that ordered residues should be conserved in 3D space in multiple models, whereas residues that vary or are consistently missing are correlated with the disorder. It predicts per-residue error in multiple fold recognition models which is followed by an analysis of the conservation of the per-residue errors across all models (McGuffin, 2008).",data/tei/PMC2935446.tei.xml
PMC2935446_AN26,"Similar to MD, DISpro and MULTICOM, we use the sequence profiles (the most widely used inputs; Table 1), predicted secondary structure (SS) [disordered regions are characterized by lack of SS (Radivojac et al., 2004, 2007; Vucetic et al., 2003)] and solvent accessibility [unstructured regions have a large solvent- accessible area (Schlessinger et al., 2009)].",data/tei/PMC2935446.tei.xml
PMC2935446_AN27,"and by the success of the 3D-based DISOclust that ranked fourth in CASP8 (Noivirt-Brik et al., 2009). We tried predictions of signal peptides, but we did not find them useful.",data/tei/PMC2935446.tei.xml
PMC2935446_AN28,"Each classifier is designed individually, i.e. uses different parameters and different set of input features (see Sections 2.5 and 2.6) computed from the IUPred, DISOclust and DISOPRED2 predictions, the sequence, the sequence profiles and the various relevant sequence-based predictions.",data/tei/PMC2935446.tei.xml
PMC2935446_AN31,"We utilize PSIPRED (McGuffin et al., 2000) for the SS prediction, Real-SPINE3 for the prediction of the relative solvent accessibility (RSA) and backbone dihedral torsion angles (Faraggi et al., 2009), PROFbval for the B-factor prediction and residue flexibility prediction (Schlessinger et al., 2006) and RPSP for the signal peptide prediction (Plewczynski et al., 2008). We also use IUPred to predict globular domains.",data/tei/PMC2935446.tei.xml
PMC2935446_AN34,"The MFDp utilizes four complementary disorder predictors, IUPred LONG (IUPREDL), IUPred SHORT (IUPREDS), DISOPRED2 and DISOclust;",data/tei/PMC2935446.tei.xml
PMC2935446_AN38,"belongs to a globular domain, is part of a purification tag or is predicted as flexible by PROFbval, to encode the features.",data/tei/PMC2935446.tei.xml
PMC2935446_AN39,"The features are divided into 17 categories based on the source information used including sequence, PSSM, amino-acid frequency, conservation, SS, RSA, torsion angles, DISOPRED2, DISOclust, IUPREDL, IUPREDS, B-factor, signal peptides, purification tag, globular domains, strict flexibility and non-strict flexibility.",data/tei/PMC2935446.tei.xml
PMC2935446_AN42,"The cross-validated predictions of MFDp are compared to its input predictors, including: DISOPRED2; IUPredL and IUPredS (IUPred predictions for short and long segments); DISOclust; and PROFBval, and with selected other recent methods including the",data/tei/PMC2935446.tei.xml
PMC2935446_AN47,"consensus-based MD (Schlessinger et al., 2009), the propensity- based Ucon (Schlessinger et al., 2007a) and the machine learning- based NORSnet (Schlessinger et al., 2007b). Our results on the CASP8 dataset are also compared against five top-performing methods in the CASP8 experiments (Noivirt-Brik et al., 2009).",data/tei/PMC2935446.tei.xml
PMC2935446_AN49,"GeneSilicoMetaServer [297], MULTICOM-CMFR [69] (Cheng et al., 2005), DISOclust [97] (McGuffin, 2008) and McGuffin [379], which is a human- based consensus that uses DISOclust. More detailed description of these predictors can be found in the CASP8 abstracts at http://predictioncenter.org/casp8/doc/CASP8_book.pdf.",data/tei/PMC2935446.tei.xml
PMC2935446_AN52,"These improvements are statistically significant with P < 0.01 when compared with all considered competitors on both datasets and for both all and long-disordered segments, except for NORSnet and IUPREDL on the long regions and the CASP8 dataset. Results on the MxD dataset demonstrate that",data/tei/PMC2935446.tei.xml
PMC2935446_AN54,"MxD dataset demonstrate that MFDp significantly outperforms its input methods as well as MD, NORSnet and Ucon when considering the Sw and AUC values and for both all and long-disordered segments.",data/tei/PMC2935446.tei.xml
PMC2935446_AN56,"For the prediction of both all and long segments on the smaller CASP8 dataset, the MFDp significantly improves over its input predictors, MD, NORSnet and Ucon for",data/tei/PMC2935446.tei.xml
PMC2935446_AN58,and GeneSilicoMetaServer [297] are unpublished and do not offer implementations/servers. The McGuffin [379] method is not automated and requires human expert and the DISOclust [97] results submitted to CASP8 are better than the results generated by the stand-alone DISOclust provided to,data/tei/PMC2935446.tei.xml
PMC2935446_AN60,results submitted to CASP8 are better than the results generated by the stand-alone DISOclust provided to us by the authors. The MFDp is available as an automated web server at http://biomine.ece.ualberta.ca/MFDp.html. The ROCs for the predictions on both datasets are shown in Figure 2,data/tei/PMC2935446.tei.xml
PMC2935446_AN61,"The results on the MD dataset obtained using 5-fold cross validation for the MFDp and the predictions from the servers for MD, DISOPRED2, IUPred, NORSnet, DISOclust, Ucon and PROFbval are summarized",data/tei/PMC2935446.tei.xml
PMC4853588_JWC04,Behavioural analysis by HomeCageScan,data/tei/PMC4853588.tei.xml
PMC4853588_JWC07,"usingthe Statistical Package for the Social Sciences Software(SPSS) V.12.0 (SPSS Inc, Chicago, Illinois, USA).",data/tei/PMC4853588.tei.xml
PMC3130168_EK12,"To obtain primers specific to the identified SNP, the segment of the SiDREB2 sequence containing the SNP site was entered into the Primer 3.0 program.",data/tei/PMC3130168.tei.xml
PMC3130168_EK13,Comparison of the deduced amino acid sequence of the AP2/ERF domain of theSiDREB2 protein with other DREB proteins using CLC free workbench version 3.0.,data/tei/PMC3130168.tei.xml
PMC3130168_EK14,Thephylogenetic tree was generated by MEGA 4.0 software,data/tei/PMC3130168.tei.xml
PMC3130168_EK26,"ClustalW alignment between partialsequence ofSiDREB2containing the SNP in four dehydration-sensitive (IC-404178, Lepakshi, IC-403521, and IC-480117) and fourtolerant (IC-403579, IC-403476, GS-464, and Prasad) foxtail millet accessions.",data/tei/PMC3130168.tei.xml
PMC3203616_TZ01,"The plates were visualized by phosphorimaging, and the data were analyzed using Multi Gauge Version 3.0 software(FUJIFILM).",data/tei/PMC3203616.tei.xml
PMC3203616_TZ02,The charging plateaus weredetermined using GraphPad Prism software,data/tei/PMC3203616.tei.xml
PMC4499650_JWC03,"To calculate the free Ca2+ concentration, WINMAXC32 version 2.50 (Chris Patton, Stanford University) was used",data/tei/PMC4499650.tei.xml
PMC2995975_WW02,"Analyses were executed using PASW, version 17.0 for Windows (SPSS Inc, Chicago,IL, USA)",data/tei/PMC2995975.tei.xml
10.1111%2Fj.1468-0351.2009.00367.x_TL01,Standard errors are calculated based on Rubin’s rule for multiply imputed data using Stata’s micombine command,data/tei/10.1111%2Fj.1468-0351.2009.00367.x.tei.xml
10.1257%2Fjep.23.3.37_TL01,"Facebook, for example, operates a software platform ) that encourages developers to write applications that also enlist advertisers and consumers.",data/tei/10.1257%2Fjep.23.3.37.tei.xml
PMC4665880_MS01,"An unpaired two-tailed t-test was performed to calculate significance differences using SPSS software (version 17.0; SPSS, Inc., Chicago, IL, USA).",data/tei/PMC4665880.tei.xml
PMC5348473_JS01,"Scratch wounding migration assay was detected by the IncuCyte HD system (IncuCyte ZOOM, Essen BioScience, USA).",data/tei/PMC5348473.tei.xml
10.1111%2Fj.1538-4616.2008.00153.x_TL01,"These models were estimated and tested using the fminsearch algorithm on Matlab. <ref type=""bibr"">14</ref>",data/tei/10.1111%2Fj.1538-4616.2008.00153.x.tei.xml
PMC4296915_MD02,"All analyses were carried out with the SPSS statistical package, version 16 for Windows.",data/tei/PMC4296915.tei.xml
PMC3944114_MZ01,"NONMEM, non-linear mixed effects modeling;",data/tei/PMC3944114.tei.xml
10.1007%2Fs10614-011-9257-z_TL01,"Abstract We present an algorithm and a corresponding MATLAB numerical toolbox to solve any form of infinite-planning horizon affine linear quadratic open-loop differential games.",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL19,"not want to do it there is an open question how to proceed in case the algorithm terminates at a non-stabilizing solution. 4 LQDG Toolbox",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL29,Fig. 1 Scheme of the LQDG Toolbox software,data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL37,"n 6 players LQDG Toolbox has predefined sets of all coalition structures so that the user does not have to define them himself.",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL38,"LQDG Toolbox offers an opportunity to control and verify every important intermediate step of the solution process as well as the results obtained.",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL39,"Step T2: Model Validation by LQDG Toolbox Based on the input that is provided in Step A1, the toolbox verifies various regularity conditions:",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL41,"of (34) can be rewritten as the minimisation of −Ji . Step T1: LQDG Toolbox Initialisation The above maximisation problems can be rewritten in terms of (32) as:",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL42,"by creating own set of feasible coalition structures 	R. We choose in this example to calculate analytically the equilibrium for non-cooperative CS [1|2]. Step T2: Model Validation by LQDG Toolbox With this input the toolbox next calculates the standard form (17–18) by considering the new variables:",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL44,"A =  −0.1 0 0 −2  , B1 =  1 0 0 1  , B2 =  1 0  , Q1 =  1 0 0 0.1  , Q2 =  1 1 1 2  , R1 =  2 −1 −1 1  , R2 = 1, Ri j = 0 (i = j), V1 = V2 = W1 = W2 =  0 0  and Ni = 0. Step T1: LQDG Toolbox Initialisation We can rewrite the above example to fit our standard model (30–31) by specifying:",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL45,"φ(7,7),2 = 1 for the second player. In this example, we specify the discount rate to be 0. Step T2: Model Validation by LQDG Toolbox",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL46,"V1 = V2 = W1 = W2 =  0 0  , and Ni = 0. Step T1: LQDG Toolbox Initialisation We can rewrite the above example to fit our standard model (30–31) by specifying:",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
10.1007%2Fs10614-011-9257-z_TL59,"Matrices H1, H2, H3 and G to construct theMare stored in the LQDG Toolbox output file. Appendix B: Cost Function Submatrices",data/tei/10.1007%2Fs10614-011-9257-z.tei.xml
PMC5238813_SK05,CI methodsDecision trees – cubist,data/tei/PMC5238813.tei.xml
PMC5238813_SK09,followed by training of the best-performing architecture on the full data set.anns – monmlp,data/tei/PMC5238813.tei.xml
PMC5238813_SK15,symbolic regression by rgpGenetic programming (GP) is a bioinspired algorithm based on evolution principles to solve complex problems.,data/tei/PMC5238813.tei.xml
PMC5238813_SK23,Cubist (Cubist)RF (randomForest)Monmlp (monmlp)Symbolic regression (rgp),data/tei/PMC5238813.tei.xml
PMC5238813_SK27,Figure 3 Predicted vs observed graph for rgp (nrMse: 4%).,data/tei/PMC5238813.tei.xml
PMC5238813_SK30,Surface plot showing the influence of average granule fraction size on porosity based on the monmlp model.,data/tei/PMC5238813.tei.xml
PMC5238813_SK31,Surface plot showing the influence of MCC and die compaction force on porosity based on rgp model.,data/tei/PMC5238813.tei.xml
PMC5094513_JWC01,one-phase decay model usingthe least squares method (GraphPad Prism 6.0 h for the Macintosh),data/tei/PMC5094513.tei.xml
10.1007%2Fs00191-018-0558-4_TL02,"We use packages DiceKriging, <ref type=""bibr"">DiceEval and DiceOptim of R Development Core Team (2009)</ref> to perform all kriging estimations (see <ref type=""bibr"" target=""#b38"">Roustant et al. 2010)</ref>.",data/tei/10.1007%2Fs00191-018-0558-4.tei.xml
10.1007%2Fs00191-018-0558-4_TL05,"We use the Matern ´ v = 5 2 covariance function, which is the default one in DiceKriging-package of R Development Core Team (2009): C(xi, xj ) = σ2 L  k g=1  1 + √5|xi − xj | θg + 5(xi − xj )2 3θ 2 g  exp − √",data/tei/10.1007%2Fs00191-018-0558-4.tei.xml
10.1257%2Faer.104.8.2456_JWC05,"Corruption (Exalead) = Number of search hits for ""corruption"" close to state name",data/tei/10.1257%2Faer.104.8.2456.tei.xml
10.1257%2Faer.104.8.2456_JWC06,"search hits for state name, using Exalead search tool (in 2009). Corruption",data/tei/10.1257%2Faer.104.8.2456.tei.xml
10.1257%2Faer.104.8.2456_JWC07,"Note that we use the ""Exalead"" measure of corruption,",data/tei/10.1257%2Faer.104.8.2456.tei.xml
